id,displayName,enemyPrefab,maxHealth,moveSpeed,stopDistance,contactDamage,contactInterval,experienceReward,creditReward,coreCrystalReward,partDropChance,deathExplosionEffectPrefab,deathExplosionCleanupDelay,deathExplosionOffsetX,deathExplosionOffsetY,deathExplosionOffsetZ,deathExplosionScale
01,적01,,30,1.2,1.1,5,1,10,10,0,0.05,,0.6,0,0,0,1
02,적02,,45,1.25,1.1,7,1,15,14,0,0.05,,0.6,0,0,0,1
03,적03,,65,1.3,1.1,10,1,22,20,0,0.06,,0.6,0,0,0,1
04,적04,,95,1.35,1.1,14,1,33,28,0,0.06,,0.6,0,0,0,1
05,적05,,140,1.4,1.1,20,1,48,40,0,0.07,,0.6,0,0,0,1
06,적06,,200,1.45,1.1,27,1,70,56,0,0.07,,0.6,0,0,0,1
07,적07,,280,1.5,1.1,36,1,100,78,0,0.08,,0.6,0,0,0,1
08,적08,,390,1.55,1.1,47,1,140,110,0,0.08,,0.6,0,0,0,1
09,적09,,540,1.6,1.1,60,1,195,150,0,0.09,,0.6,0,0,0,1
10,적10,,750,1.7,1.1,75,1,270,200,0,0.1,,0.6,0,0,0,1
