id,displayName,icon,attackDamage,attackType,areaRadius,areaDamageMultiplier,maxAreaTargets,maxPierceTargets,maxLevel,damagePercentPerLevel,maxLevelDuplicateCoreCrystalReward,speed,lifetime,collisionRadius,knockbackForce,multiMuzzleFireMode,maxBurstMuzzleCount,muzzleNamePrefix,fireFlashEffect,projectileEffect,hitEffect,effectCleanupDelay,rarity
01,탄환,Assets/External Assets/TopDownAssets/Common/Sprites/Projectiles/Ammo/17/Bullet.png,5,SingleTarget,2,0.7,10,3,10,0.1,1,20,2,0.2,2,BurstKeepsDps,3,FireMuzzle,Assets/External Assets/Hovl Studio/Toon Projectiles 2/Prefabs/Flash 1.prefab,Assets/External Assets/Hovl Studio/Toon Projectiles 2/Prefabs/Projectile 1 bullet.prefab,Assets/External Assets/Hovl Studio/Toon Projectiles 2/Prefabs/Hit 1.prefab,2,Common
02,중력포,Assets/External Assets/Image/Bullet_Icon 128x128/Orb_Bullet.png,5,Piercing,2,0.7,10,3,10,0.1,1,20,2,0.2,2.2,BurstKeepsDps,3,FireMuzzle,Assets/External Assets/Hovl Studio/Toon Projectiles 2/Prefabs/Flash 2.prefab,Assets/External Assets/Hovl Studio/Toon Projectiles 2/Prefabs/Projectile 2 energy orb.prefab,Assets/External Assets/Hovl Studio/Toon Projectiles 2/Prefabs/Hit 2.prefab,2,Common
03,레이저,Assets/External Assets/Image/Bullet_Icon 128x128/Laser_Bullet.png,7,Piercing,2,0.7,10,3,10,0.1,1,20,2,0.2,2.5,BurstKeepsDps,3,FireMuzzle,Assets/External Assets/Hovl Studio/Toon Projectiles 2/Prefabs/Flash 4.prefab,Assets/External Assets/Hovl Studio/Toon Projectiles 2/Prefabs/Projectile 4 red star.prefab,Assets/External Assets/Hovl Studio/Toon Projectiles 2/Prefabs/Hit 4.prefab,2,Common
04,냉동탄,Assets/External Assets/Image/Bullet_Icon 128x128/FreezeBullet.png,8,SingleTarget,2,0.7,10,3,10,0.1,1,20,2,0.2,2.8,BurstKeepsDps,3,FireMuzzle,Assets/External Assets/Hovl Studio/Toon Projectiles 2/Prefabs/Flash 7.prefab,Assets/External Assets/Hovl Studio/Toon Projectiles 2/Prefabs/Projectile 7 wind.prefab,Assets/External Assets/Hovl Studio/Toon Projectiles 2/Prefabs/Hit 7.prefab,2,Common
05,부식탄,Assets/External Assets/Image/Bullet_Icon 128x128/decayBullet.png,10,Area,1,0.7,10,3,10,0.1,1,20,2,0.2,3.2,BurstKeepsDps,3,FireMuzzle,Assets/External Assets/Hovl Studio/Toon Projectiles 2/Prefabs/Flash 8.prefab,Assets/External Assets/Hovl Studio/Toon Projectiles 2/Prefabs/Projectile 8 twist.prefab,Assets/External Assets/Hovl Studio/Toon Projectiles 2/Prefabs/Hit 8.prefab,2,Common
06,확산탄,Assets/External Assets/Image/Bullet_Icon 128x128/ClusterBomb.png,13,Area,2,0.7,10,3,10,0.1,1,20,2,0.2,3.6,BurstKeepsDps,3,FireMuzzle,Assets/External Assets/Hovl Studio/Toon Projectiles 2/Prefabs/Flash 10.prefab,Assets/External Assets/Hovl Studio/Toon Projectiles 2/Prefabs/Projectile 10 explode.prefab,Assets/External Assets/Hovl Studio/Toon Projectiles 2/Prefabs/Hit 10.prefab,2,Common
07,레이저-R,Assets/External Assets/Image/Bullet_Icon 128x128/Laser_Bullet_R.png,16,Piercing,2,0.7,10,3,10,0.1,1,20,2,0.2,4,BurstKeepsDps,3,FireMuzzle,Assets/External Assets/Hovl Studio/Toon Projectiles 2/Prefabs/Flash 15.prefab,Assets/External Assets/Hovl Studio/Toon Projectiles 2/Prefabs/Projectile 15 red.prefab,Assets/External Assets/Hovl Studio/Toon Projectiles 2/Prefabs/Hit 15.prefab,2,Common
08,전격탄,Assets/External Assets/Image/Bullet_Icon 128x128/Electro Bullet.png,20,Area,1,0.7,10,3,10,0.1,1,20,2,0.2,4.5,BurstKeepsDps,3,FireMuzzle,Assets/External Assets/Hovl Studio/AAA Projectiles Vol 2/Prefabs/Flash 3.prefab,Assets/External Assets/Hovl Studio/AAA Projectiles Vol 2/Prefabs/Projectile 3 electro.prefab,Assets/External Assets/Hovl Studio/AAA Projectiles Vol 2/Prefabs/Hit 3.prefab,2,Rare
09,흑철갑탄,Assets/External Assets/Image/Bullet_Icon 128x128/Annihilation_Bullet.png,25,Piercing,2,0.7,10,5,10,0.1,1,20,2,0.2,5,BurstKeepsDps,3,FireMuzzle,Assets/External Assets/Hovl Studio/AAA Projectiles Vol 2/Prefabs/Flash 6.prefab,Assets/External Assets/Hovl Studio/AAA Projectiles Vol 2/Prefabs/Projectile 6 magic.prefab,Assets/External Assets/Hovl Studio/AAA Projectiles Vol 2/Prefabs/Hit 6.prefab,2,Rare
10,허리케인,Assets/External Assets/Image/Bullet_Icon 128x128/Cuts_Bullet.png,33,Piercing,2,0.7,10,2,10,0.1,1,20,2,0.2,6,BurstKeepsDps,3,FireMuzzle,Assets/External Assets/Hovl Studio/AAA Projectiles Vol 2/Prefabs/Flash 12.prefab,Assets/External Assets/Hovl Studio/AAA Projectiles Vol 2/Prefabs/Projectile 12 cuts.prefab,Assets/External Assets/Hovl Studio/AAA Projectiles Vol 2/Prefabs/Hit 12.prefab,2,Rare
