order,id,bodyText,highlightTargetName,advanceType,eventType,targetAmount,targetId
1,open_player,<b>레드브리처</b>에 오신 것을 환영합니다! 먼저 <b>무기와 드론을 교체하는 방법</b>부터 알아보겠습니다. <b>기체 탭</b>을 눌러주세요.,Player_Btn,TargetClicked,None,0,
2,open_player,우측의 <b>주무장 아이콘</b>을 눌러주세요.,Weapon_Image_Button,TargetClicked,None,6,
3,open_player,무기 <b>'포탄'</b>을 선택하세요.,LoadoutOptionButton(Clone),TargetClicked,None,0,
4,open_player,무기를 고른 뒤 <b>장착하기 버튼</b>까지 눌러야 장착이 완료됩니다.,Equip_Button,TargetClicked,None,0,
5,open_player,잘하셨습니다! 이번엔 기체 탭을 살펴보겠습니다. 장착한 무기와 드론의 스탯은 아래 패널에 표시됩니다.,Weapon/Drone Infos_BG_Frame,Tap,None,0,
6,open_player,위쪽 버튼으로 <b>무기와 드론의 스탯을 번갈아</b> 볼 수 있습니다.,InfoButtons Group,Tap,None,0,
7,open_player,탑승 중인 <b>탱크의 스탯</b>입니다. 능력치와 현재 탱크 레벨을 확인할 수 있습니다.,Player nfos_BG_Frame,Tap,None,0,
8,open_player,<b>화살표 버튼</b>을 누르면 <b>더 상세한 정보</b>를 볼 수 있습니다.,RouteDetailButton,Tap,None,0,
9,open_player,<b>드론</b>입니다. 탱크를 <b>엄호</b>하며 <b>보조 화력</b>을 더해 줍니다.,Drone_Image_Button,Tap,None,0,
10,open_player,<b>드론 아이콘</b>을 눌러 살펴보세요.,Drone_Image_Button,TargetClicked,None,0,
11,open_player,"드론 인벤토리입니다. 지금은 1기뿐이지만, 새로운 드론이 해금되면 같은 방식으로 교체할 수 있습니다.",Viewport,Tap,None,0,
12,open_player,<b>돌아가기 버튼</b>을 눌러주세요.,ExitButton,TargetClicked,None,0,
13,open_player,플레이어의 능력치를 하나로 합친 <b>종합 전투력</b>입니다.,PlayerPower_txt,Tap,None,0,
14,open_player,스킬을 제외한 <b>탱크 + 드론 + 무기</b>의 능력치를 합산한 값입니다.,PlayerPower_txt,Tap,None,0,
15,open_player,기체 탭 설명은 여기까지입니다. 이어서 <b>인게임 UI</b>를 살펴보겠습니다.,,Tap,None,0,
16,open_player,<b>돌아가기 버튼</b>을 눌러주세요.,ExitButton,TargetClicked,None,0,
